*Компания*;*Телефон компаний*;*Сайт компаний*;*Данные из регистра*
*Tietoniitty Oy *;*044 3133 316*;*-*;*{Kaupparekisteri   Rekisterissä   19.09.1990  |Verohallinnon perustiedot   Rekisterissä   25.10.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Tietopalvelu Galdonia Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   29.06.1990  |Verohallinnon perustiedot   Rekisterissä   26.06.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Tietosarvi Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.12.1989  |Verohallinnon perustiedot   Rekisterissä   06.02.1990  |}*
*Tietosuojakone Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   13.11.2013  |Verohallinnon perustiedot   Rekisterissä   18.11.2013  |Ennakkoperintärekisteri   Rekisterissä   07.11.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   05.11.2013  |}*
*Tietotunkki Oy *;*050 5950047*;*-*;*{Kaupparekisteri   Rekisterissä   02.06.2014  |Verohallinnon perustiedot   Rekisterissä   02.06.2014  |Ennakkoperintärekisteri   Rekisterissä   13.05.2014  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   13.05.2014  |}*
*Tietovelhot Oy *;*0505950047*;*-*;*{Kaupparekisteri   Rekisterissä   31.01.2007  |Verohallinnon perustiedot   Rekisterissä   02.02.2007  |Ennakkoperintärekisteri   Rekisterissä   01.02.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.02.2007  |}*
*Tigerhat Games Oy *;*044-9666451*;*-*;*{Kaupparekisteri   Rekisterissä   11.09.2008  |Verohallinnon perustiedot   Rekisterissä   21.08.2008  |}*
*Tikanoja Bros. Oy *;*+358451254519*;*t-bros.fi*;*{Kaupparekisteri   Rekisterissä   01.03.2019  |Verohallinnon perustiedot   Rekisterissä   01.03.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.02.2019  |Työnantajarekisteri   Rekisterissä   15.02.2019  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   24.06.1986  |}*
*Tilatehtuuri Oy *;*-*;*www.tilatehtuuri.fi*;*{Kaupparekisteri   Rekisterissä   10.04.2019  |Verohallinnon perustiedot   Rekisterissä   10.04.2019  |Ennakkoperintärekisteri   Rekisterissä   08.04.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   08.04.2019  |}*
*Maatalousyhtymä Piukun Tila Toriseva Anna Aila ja Tuomas *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   17.04.1985  |Arvonlisäverovelvollisuus   Alkutuottajana ja/tai kuvataiteilijana arvonlisäverovelvollinen   01.01.1995  |}*
*Tilli Yhtiöt Oy *;*-*;*www.tilli.fi*;*{Kaupparekisteri   Rekisterissä   30.11.2006  |Verohallinnon perustiedot   Rekisterissä   01.12.2006  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.02.2016  |}*
*Timo Malén Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   25.02.2000  |Verohallinnon perustiedot   Rekisterissä   22.02.2000  |Ennakkoperintärekisteri   Rekisterissä   21.02.2000  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   03.01.2000  |Työnantajarekisteri   Rekisterissä   01.02.2000  |}*
*TK-Yritysvalmennus Oy Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   05.12.1990  |Verohallinnon perustiedot   Rekisterissä   08.01.1991  |Ennakkoperintärekisteri   Rekisterissä   28.01.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.01.2002  |}*
*Ab TKS-Trading Oy *;*0400878837*;*-*;*{Kaupparekisteri   Rekisterissä   27.10.1993  |Verohallinnon perustiedot   Rekisterissä   01.12.1993  |Ennakkoperintärekisteri   Rekisterissä   01.10.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.1998  |}*
*TMT-Suunnittelu Oy *;*0400 660 484*;*-*;*{Kaupparekisteri   Rekisterissä   01.08.1985  |Verohallinnon perustiedot   Rekisterissä   17.07.1985  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Toimisto-Karhu Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   24.06.1992  |Verohallinnon perustiedot   Rekisterissä   08.05.1992  |}*
*TOIMISTOPARTNERI OY *;*044 5500568*;*www.toimistopartneri.fi*;*{Kaupparekisteri   Rekisterissä   12.03.2002  |Verohallinnon perustiedot   Rekisterissä   28.02.2002  |Ennakkoperintärekisteri   Rekisterissä   05.03.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2002  |}*
*Toimistopiste-Uusimaa Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.03.1994  |Verohallinnon perustiedot   Rekisterissä   02.11.1993  |}*
*ToimistoRobotti Oy *;*-*;*www.toimistorobotti.fi*;*{Kaupparekisteri   Rekisterissä   27.09.1989  |Verohallinnon perustiedot   Rekisterissä   24.08.1989  |}*
*Oy Tommy's Hemelektronic Ab *;*0400 561327*;*-*;*{Kaupparekisteri   Rekisterissä   21.04.2009  |Verohallinnon perustiedot   Rekisterissä   21.04.2009  |Ennakkoperintärekisteri   Rekisterissä   15.04.2009  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   07.04.2009  |}*
*Fma Christian Lund *;*0503568930*;*www.soulman.fi*;*{Kaupparekisteri   Rekisterissä   05.04.2012  |Verohallinnon perustiedot   Rekisterissä   24.02.2012  |}*
*Topscandia Oy *;*0400330039*;*www.topscandia.com*;*{Kaupparekisteri   Rekisterissä   20.11.2012  |Verohallinnon perustiedot   Rekisterissä   17.01.2013  |}*
*Pohjolan Toimistotekniikka Oy *;*0405906454*;*www.tiinantori.fi*;*{Kaupparekisteri   Rekisterissä   25.10.1999  |Verohallinnon perustiedot   Rekisterissä   26.10.1999  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   25.10.1999  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.09.2013  |}*
*tostek oy *;*+358 401292910*;*www.tostek.fi*;*{Kaupparekisteri   Rekisterissä   11.01.2010  |Verohallinnon perustiedot   Rekisterissä   15.01.2010  |Ennakkoperintärekisteri   Rekisterissä   28.12.2009  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   21.12.2009  |Työnantajarekisteri   Rekisterissä   01.05.2012  |}*
*Toysox Oy Ltd *;*0500604473*;*-*;*{Kaupparekisteri   Rekisterissä   04.10.2007  |Verohallinnon perustiedot   Rekisterissä   08.10.2007  |Ennakkoperintärekisteri   Rekisterissä   18.12.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   03.09.2007  |}*
*Tradec Networks Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   15.05.2000  |Verohallinnon perustiedot   Rekisterissä   01.06.2000  |Ennakkoperintärekisteri   Rekisterissä   31.05.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   19.09.2001  |Työnantajarekisteri   Rekisterissä   01.01.2005  |}*
*Trado Innovations Oy *;*-*;*www.trado.fi*;*{Kaupparekisteri   Rekisterissä   27.08.2004  |Verohallinnon perustiedot   Rekisterissä   27.08.2004  |Ennakkoperintärekisteri   Rekisterissä   01.09.2004  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.09.2004  |}*
*TrafoKnow Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.09.2019  |Verohallinnon perustiedot   Rekisterissä   27.09.2019  |Ennakkoperintärekisteri   Rekisterissä   21.09.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   21.09.2019  |}*
*Transdeco Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   22.03.1995  |Verohallinnon perustiedot   Rekisterissä   02.08.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.1995  |Työnantajarekisteri   Rekisterissä   01.01.2002  |}*
*Transdiileri Oy *;*0400 439439*;*-*;*{Kaupparekisteri   Rekisterissä   30.05.2002  |Verohallinnon perustiedot   Rekisterissä   20.05.2002  |Ennakkoperintärekisteri   Rekisterissä   01.05.2002  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.05.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2002  |}*
*Treconet Oy *;*0400295334*;*www.treconet.fi*;*{Kaupparekisteri   Rekisterissä   15.04.2011  |Verohallinnon perustiedot   Rekisterissä   15.04.2011  |Ennakkoperintärekisteri   Rekisterissä   13.06.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   11.10.2014  |}*
*Trendel Oy *;*-*;*www.trendel.fi*;*{Kaupparekisteri   Rekisterissä   09.04.2013  |Verohallinnon perustiedot   Rekisterissä   11.04.2013  |Ennakkoperintärekisteri   Rekisterissä   21.03.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2013  |Työnantajarekisteri   Rekisterissä   01.03.2013  |}*
*Trendico Oy *;*+358400643113*;*-*;*{Kaupparekisteri   Rekisterissä   24.02.1993  |Verohallinnon perustiedot   Rekisterissä   10.03.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Triadi Office Oy *;*0408288757*;*-*;*{Kaupparekisteri   Rekisterissä   01.08.2003  |Verohallinnon perustiedot   Rekisterissä   16.07.2003  |Ennakkoperintärekisteri   Rekisterissä   01.08.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2003  |Työnantajarekisteri   Rekisterissä   01.08.2003  |}*
*Tribella Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   20.02.2018  |Verohallinnon perustiedot   Rekisterissä   20.02.2018  |Ennakkoperintärekisteri   Rekisterissä   22.01.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   18.01.2018  |}*
*Trimatic Oy Suunnittelutoimisto *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   08.12.1993  |Verohallinnon perustiedot   Rekisterissä   14.01.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.01.1996  |}*
*Trovato Oy *;*0400-660151*;*-*;*{Kaupparekisteri   Rekisterissä   16.01.2003  |Verohallinnon perustiedot   Rekisterissä   03.01.2003  |Ennakkoperintärekisteri   Rekisterissä   01.01.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   17.12.2002  |Työnantajarekisteri   Rekisterissä   01.03.2003  |}*
*Alte Oy *;*-*;*www.alten.fi*;*{Kaupparekisteri   Rekisterissä   31.10.2002  |Verohallinnon perustiedot   Rekisterissä   04.11.2002  |Ennakkoperintärekisteri   Rekisterissä   31.10.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   31.10.2002  |Työnantajarekisteri   Rekisterissä   31.10.2002  |}*
*TTE Finland Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   14.03.1975  |Verohallinnon perustiedot   Rekisterissä   11.11.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.10.1978  |}*
*TTL Inssit Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   20.02.2001  |Verohallinnon perustiedot   Rekisterissä   28.12.2000  |Ennakkoperintärekisteri   Rekisterissä   13.12.2000  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.11.2000  |}*
*TTY Center Levi Oy *;*0400-766 821*;*-*;*{Kaupparekisteri   Rekisterissä   08.05.2002  |Verohallinnon perustiedot   Rekisterissä   16.04.2002  |Ennakkoperintärekisteri   Rekisterissä   02.04.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.04.2002  |}*
*Tuletar Oy *;*0500628032*;*-*;*{Kaupparekisteri   Rekisterissä   31.12.1999  |Verohallinnon perustiedot   Rekisterissä   08.12.1999  |}*
*Tulospyörä Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   18.10.1995  |Verohallinnon perustiedot   Rekisterissä   25.08.1995  |Ennakkoperintärekisteri   Rekisterissä   25.11.2010  |}*
*Oy Tuplanollakaks Ab *;*0400-507634*;*-*;*{Kaupparekisteri   Rekisterissä   19.09.2018  |Verohallinnon perustiedot   Rekisterissä   01.02.1990  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Turun Huoltopalvelu Oy *;*0445420179*;*-*;*{Kaupparekisteri   Rekisterissä   21.04.2016  |Verohallinnon perustiedot   Rekisterissä   26.04.2016  |Ennakkoperintärekisteri   Rekisterissä   05.04.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   05.04.2016  |Työnantajarekisteri   Rekisterissä   05.04.2016  |}*
*Aatami Tietotalo Oy *;*0445555044*;*www.aatami.fi*;*{Kaupparekisteri   Rekisterissä   11.03.1992  |Verohallinnon perustiedot   Rekisterissä   13.04.1992  |Ennakkoperintärekisteri   Rekisterissä   22.04.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Turun Sähkölaitehuolto Oy *;*-*;*www.kodinkonemarket.fi*;*{Kaupparekisteri   Rekisterissä   27.01.2004  |Verohallinnon perustiedot   Rekisterissä   18.02.2004  |Ennakkoperintärekisteri   Rekisterissä   27.02.2004  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   08.01.2004  |}*
*TurvaTag Oy *;*-*;*www.turvatag.fi*;*{Kaupparekisteri   Rekisterissä   11.06.2013  |Verohallinnon perustiedot   Rekisterissä   09.08.2013  |Ennakkoperintärekisteri   Rekisterissä   13.05.2013  |}*
*Jarno Lukkarila Type Foundry *;*0503391487*;*www.typolar.com*;*{Kaupparekisteri   Rekisterissä   27.11.2001  |Verohallinnon perustiedot   Rekisterissä   14.11.2001  |}*
*Töölön Sähköhuolto Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   29.02.1952  |Verohallinnon perustiedot   Rekisterissä   16.06.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.12.1971  |}*
*UDesignIt Oy *;*-*;*www.udesignit.fi*;*{Kaupparekisteri   Rekisterissä   04.07.2016  |Verohallinnon perustiedot   Rekisterissä   06.07.2016  |Ennakkoperintärekisteri   Rekisterissä   01.06.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2016  |}*
*Ullan Esa Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   16.03.1994  |Verohallinnon perustiedot   Rekisterissä   24.05.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Ullanlinnan Germin Oy *;*0417078621*;*-*;*{Kaupparekisteri   Rekisterissä   20.09.2010  |Verohallinnon perustiedot   Rekisterissä   21.09.2010  |}*
*Ultraberg Oy *;*-*;*vadelmakuu.com*;*{Kaupparekisteri   Rekisterissä   04.04.2019  |Verohallinnon perustiedot   Rekisterissä   04.04.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2019  |}*
*Oy Umlauf Ab *;*0400169533*;*-*;*{Kaupparekisteri   Rekisterissä   14.11.1985  |Verohallinnon perustiedot   Rekisterissä   06.02.1986  |Ennakkoperintärekisteri   Rekisterissä   01.11.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2020  |Työnantajarekisteri   Rekisterissä   01.01.2020  |}*
*Meteor Oy *;*-*;*www.undergroundstore.fi*;*{Kaupparekisteri   Rekisterissä   12.03.2008  |Verohallinnon perustiedot   Rekisterissä   19.03.2008  |Ennakkoperintärekisteri   Rekisterissä   01.03.2008  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2008  |Työnantajarekisteri   Rekisterissä   01.03.2008  |}*
*United Accounting Advisors Group Ltd Oy *;*-*;*www.suomentilituotto.fi*;*{Kaupparekisteri   Rekisterissä   01.08.2016  |Verohallinnon perustiedot   Rekisterissä   10.08.2016  |Ennakkoperintärekisteri   Rekisterissä   01.08.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2016  |}*
*Unitrix Oy *;*0405080713*;*-*;*{Kaupparekisteri   Rekisterissä   04.02.2008  |Verohallinnon perustiedot   Rekisterissä   28.01.2008  |Ennakkoperintärekisteri   Rekisterissä   24.01.2008  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   21.01.2008  |Työnantajarekisteri   Rekisterissä   21.01.2008  |}*
*Univoice Oy Ltd *;*0400121853*;*www.univoice.fi*;*{Kaupparekisteri   Rekisterissä   18.04.1990  |Verohallinnon perustiedot   Rekisterissä   04.05.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.05.1990  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   13.04.2012  |}*
*Ura Asennus Oy:n Eläkesäätiö s.r. *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   14.09.1993  |}*
*Urheiluliike Kisa Oy Immonen *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   18.10.1940  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.09.2019  |Työnantajarekisteri   Rekisterissä   01.06.1974  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   06.03.2019  |}*
*Judipal Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   16.08.1995  |Verohallinnon perustiedot   Rekisterissä   11.09.1995  |Ennakkoperintärekisteri   Rekisterissä   14.09.2004  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2000  |Työnantajarekisteri   Rekisterissä   01.06.2004  |}*
*UWIS Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   16.06.2014  |Verohallinnon perustiedot   Rekisterissä   19.06.2014  |Ennakkoperintärekisteri   Rekisterissä   01.07.2014  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.07.2014  |Työnantajarekisteri   Rekisterissä   01.08.2014  |}*
*V-S SVUL-Liikuntapalvelut Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   07.02.1990  |Verohallinnon perustiedot   Rekisterissä   05.12.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*V.E. Hallinta Oy *;*045 636 2673*;*-*;*{Kaupparekisteri   Rekisterissä   09.07.2004  |Verohallinnon perustiedot   Rekisterissä   07.07.2004  |Ennakkoperintärekisteri   Rekisterissä   01.07.2004  |}*
*Vahtimestarin Erikoinen Oy *;*+358400 933911*;*www.vahtimestari.com*;*{Kaupparekisteri   Rekisterissä   28.04.2016  |Verohallinnon perustiedot   Rekisterissä   29.04.2016  |Ennakkoperintärekisteri   Rekisterissä   01.04.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.04.2016  |}*
*Valaisintalo Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   14.09.1994  |Verohallinnon perustiedot   Rekisterissä   07.10.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   25.11.1994  |}*
*Valaistussuunnittelu Kari Knuutila Oy *;*0400491671*;*www.valolinja.fi*;*{Kaupparekisteri   Rekisterissä   28.01.2008  |Verohallinnon perustiedot   Rekisterissä   01.02.2008  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   07.09.2006  |}*
*Vallalat Oy *;*0505226036*;*-*;*{Kaupparekisteri   Rekisterissä   31.12.1998  |Verohallinnon perustiedot   Rekisterissä   11.06.1998  |}*
*Vallilan Rauta Oy *;*-*;*vallilanrauta.fi*;*{Kaupparekisteri   Rekisterissä   16.03.2012  |Verohallinnon perustiedot   Rekisterissä   22.03.2012  |}*
*Valo + Arkkitehtuuri Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   29.06.2018  |Verohallinnon perustiedot   Rekisterissä   29.06.2018  |Ennakkoperintärekisteri   Rekisterissä   01.08.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2019  |Työnantajarekisteri   Rekisterissä   01.09.2019  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   04.01.2000  |}*
*Huone ja Valo Oy *;*050 3030694*;*-*;*{Kaupparekisteri   Rekisterissä   03.07.2006  |Verohallinnon perustiedot   Rekisterissä   12.06.2006  |Ennakkoperintärekisteri   Rekisterissä   01.07.2006  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.07.2006  |}*
*Valonyhtymä Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   08.02.2007  |Verohallinnon perustiedot   Rekisterissä   29.01.2007  |Ennakkoperintärekisteri   Rekisterissä   19.01.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.01.2007  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   08.11.2010  |}*
*Oy Valostudio P & P Ltd *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.02.1994  |Verohallinnon perustiedot   Rekisterissä   04.10.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   18.09.1995  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   12.01.2018  |}*
*Valovuosi Coaching *;*-*;*www.valovuosicoaching.fi*;*{Kaupparekisteri   Rekisterissä   29.01.2016  |Verohallinnon perustiedot   Rekisterissä   28.01.2016  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   24.08.2000  |}*
*Vantaan Hanex Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   17.05.1989  |Verohallinnon perustiedot   Rekisterissä   02.09.1988  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Vantaan Pelti ja Rakennus Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.01.1993  |Verohallinnon perustiedot   Rekisterissä   26.04.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Varitec Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   31.12.1986  |Verohallinnon perustiedot   Rekisterissä   19.11.1986  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Varjo- Yhtiöt Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   28.04.2017  |Verohallinnon perustiedot   Rekisterissä   02.05.2017  |}*
*Varsinais-Suomen Konetarvike Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.07.1996  |Verohallinnon perustiedot   Rekisterissä   20.03.1996  |Ennakkoperintärekisteri   Rekisterissä   11.11.2005  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   13.02.1996  |Työnantajarekisteri   Rekisterissä   01.01.1997  |}*
*Varux Oy *;*0407254503*;*-*;*{Kaupparekisteri   Rekisterissä   17.10.2011  |Verohallinnon perustiedot   Rekisterissä   18.10.2011  |Ennakkoperintärekisteri   Rekisterissä   01.10.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2011  |Työnantajarekisteri   Rekisterissä   01.01.2012  |}*
*Vaspec Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   17.06.2011  |Verohallinnon perustiedot   Rekisterissä   14.07.2011  |Ennakkoperintärekisteri   Rekisterissä   13.06.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   08.06.2011  |Työnantajarekisteri   Rekisterissä   08.06.2011  |}*
*Vegacap Oy *;*050-5218124*;*-*;*{Kaupparekisteri   Rekisterissä   26.03.1998  |Verohallinnon perustiedot   Rekisterissä   18.05.1998  |Ennakkoperintärekisteri   Rekisterissä   07.06.2001  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2001  |Työnantajarekisteri   Rekisterissä   01.07.2001  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   07.01.1999  |}*
*Veiskar Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   09.04.2002  |Verohallinnon perustiedot   Rekisterissä   13.02.2002  |Ennakkoperintärekisteri   Rekisterissä   01.01.2002  |}*
*Velec *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   29.11.2004  |}*
*Veliromano Finland Oy *;*0405761085*;*-*;*{Kaupparekisteri   Rekisterissä   12.04.2017  |Verohallinnon perustiedot   Rekisterissä   12.04.2017  |Ennakkoperintärekisteri   Rekisterissä   20.03.2017  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   20.03.2017  |Työnantajarekisteri   Rekisterissä   01.04.2017  |}*
*Vendiamon Oy *;*0452143100*;*-*;*{Kaupparekisteri   Rekisterissä   02.07.2019  |Verohallinnon perustiedot   Rekisterissä   02.07.2019  |Ennakkoperintärekisteri   Rekisterissä   01.08.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2019  |}*
*Vendicon Oy *;*0509944827*;*-*;*{Kaupparekisteri   Rekisterissä   30.09.2010  |Verohallinnon perustiedot   Rekisterissä   07.10.2010  |Ennakkoperintärekisteri   Rekisterissä   01.10.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2011  |}*
